Event Text,event summary,original_word_count,summary_word_count,elapse time (s)
"<s>1. Mr Deputy Speaker, I do not support the motion in its original form as moved by the NCMPs Mr Leong Mun Wai and Ms Hazel Poa. However, I support the amendments to the motion as proposed by Mr Liang Eng Hwa. Let me explain why. </s>","<s>1. Mr Deputy Speaker, I do not support the motion in its original form as moved by the NCMPs Mr Leong Mun Wai and Ms Hazel Poa. However, I support the amendments to the motion as proposed by Mr Liang Eng Hwa. Let me explain why. </s>",47,47,0.00012040000001434237
"<s>2. On the face of it, the PSP’s motion seems unobjectionable. After all, what is wrong with calling on the Government to review its current budget and reserve accumulation policies in order to help present-day Singaporeans with their financial burdens and improve their quality of life? However, when you look at it carefully, the motion implies various things which I cannot agree with. </s>","The motion is to review the Government’s current budget and reserve accumulation policies. However, when you look at it carefully, the motion implies various things which I cannot agree with. The motion is a call for the Government to review its current Budget and Reserve accumulation policies in order to help present-day Singaporeans.",64,53,24.381547700000738
"<s>a. First, it suggests that the Government is over-accumulating surpluses and reserves at the expense of present-day Singaporeans, and is not helping them financially or doing anything to improve their quality of life;</s>","<s>a. First, it suggests that the Government is over-accumulating surpluses and reserves at the expense of present-day Singaporeans, and is not helping them financially or doing anything to improve their quality of life;</s>",33,33,0.0005670000009558862
"<s>b. Second, it suggests that we are unfairly prioritising future generations over the current generation.</s>","<s>b. Second, it suggests that we are unfairly prioritising future generations over the current generation.</s>",15,15,3.20999988616677e-05
<s>3. Both are incorrect.</s>,<s>3. Both are incorrect.</s>,4,4,2.4700000722077675e-05
"<s>4. Further, in their speeches in support of the motion, PSP essentially suggests that the Government has excess fiscal resources which are not being spent on Singaporeans, and that there would be even more fiscal resources available if only we changed our reserves policies. We do not agree with that either.  </s>",4. The motion suggests that the Government has excess fiscal resources which are not being spent on Singaporeans. 5. It suggests that there would be even more fiscal resources available if only we changed our reserves policies. 6. We do not agree with that either.,52,45,12.46024480000051
"<s>5. As such, I cannot support the original motion. However, I fully agree with the amended motion – the thrust of which calls on the Government to ensure that our budget and reserves accumulation policies always stay fiscally responsible and sustainable in order to provide for the current generation as well as future generations.</s>","5. I cannot support the original motion. However, I fully agree with the amended motion – the thrust of which calls on the Government to ensure that our budget and reserves accumulation policies always stay fiscally responsible and sustainable in order to provide for the current generation and future generations.",54,50,9.802875800000038
"<s>6. Associate Professor Jamus Lim made the point that he could not support the amended motion, because it precluded the possibility of a review. Actually, the amended motion does not do that. If you look at the wording, it says that this House calls on the Government to ensure its budget and reserves accumulation policies always stay fiscally responsible and sustainable in order to help, et cetera. Ensuring that something always stays fiscally responsible and sustainable does not preclude a review, because from time to time, you may have to make changes if necessary, in order to ensure that you stay fiscally responsible and sustainable. Just a small point on that.</s>","Professor Jamus Lim made the point that he could not support the amended motion, because it precluded the possibility of a review. If you look at the wording, it says that this House calls on the Government to ensure its budget and reserves accumulation policies always stay fiscally responsible and sustainable.",111,51,8.560455299999376
<s>Our Budget and Reserves Policies </s>,<s>Our Budget and Reserves Policies </s>,6,6,0.001253099999303231
"<s>7. Mr Speaker, much has been said in this debate about our budget and reserves policies, but let us be clear on what they are, so that we are not speaking at cross-purposes.</s>","<s>7. Mr Speaker, much has been said in this debate about our budget and reserves policies, but let us be clear on what they are, so that we are not speaking at cross-purposes.</s>",33,33,0.0002579000010882737
<s>Budget Policies</s>,<s>Budget Policies</s>,2,2,4.489999992074445e-05
<s>8. Our budget policies are founded on the following principles:</s>,<s>8. Our budget policies are founded on the following principles:</s>,10,10,0.0001489000005676644
